"APN","Address - Street Number","Address - Street Name","Address - Zip Code","Bedrooms","Bathrooms","MTRO Square Footage","Lot Size - Acres","Year Built","Property Condition","Remodeled/Updated","Remodeled/Updated Desc","DOM","CDOM","Original Price","List Price","Close Price","On Market Date","Close Date","Multiple Offers","Number of Offers"
"260-0092-008-0000","6016","Shirley","95608","3","2 (2 0)","1580","0.4200","1947","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","4","4","415000.00","415000.00","415000.00","05/30/19","06/27/19","Yes","2"
"260-0450-022-0000","3820","Olivebranch","95608","2","2 (2 0)","1255","0.0714","1989","Updated/Remodeled","Yes","Bath 6-10YR,Kitchen 0-5YR","7","7","319500.00","319500.00","325500.00","05/30/19","07/08/19","Yes","3"
"236-0051-066-0000","5905","Lucinda","95608","3","2 (2 0)","1434","0.1800","1989","","No","","33","33","350000.00","345000.00","345000.00","05/31/19","07/31/19","Yes","2"
"247-0042-001-0000","4507","Charleston","95608","4","2 (2 0)","1897","0.3905","1961","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR,Kitchen 0-5YR","2","2","455000.00","455000.00","488000.00","05/31/19","06/07/19","Yes","4"
"245-0053-007-0000","5933","Ranger","95608","3","2 (2 0)","1612","0.2296","1966","Updated/Remodeled","Yes","Kitchen 11-15YR,Other-Rmks 11-15YR","5","5","379999.00","379999.00","395000.00","06/05/19","06/28/19","Yes","4"
"258-0350-035-0000","4028","Knoll Top","95608","2","2 (1 1)","1116","0.0289","1972","Updated/Remodeled","Yes","Kitchen 0-5YR","8","8","219900.00","219900.00","230000.00","06/13/19","07/22/19","Yes","3"
"289-0223-023-0000","1242","Jacob","95608","3","2 (2 0)","2124","0.2600","1972","Updated/Remodeled","Yes","Bath 0-5YR,Kitchen 0-5YR,Other-Rmks 0-5YR","11","11","769000.00","769000.00","769000.00","05/31/19","07/11/19","Yes","2"
"260-0331-016-0000","5920","Grant","95608","2","1 (1 0)","712","0.1951","1945","","No","","105","105","289900.00","254900.00","254900.00","06/01/19","10/25/19","No","0"
"245-0022-010-0000","6111","Rampart","95608","3-4","3 (2 1)","1979","0.3306","1959","Updated/Remodeled","Yes","Bath 0-5YR,Bed 6-10YR,Kitchen 0-5YR","49","49","495000.00","485000.00","490000.00","06/02/19","09/30/19","Yes","5"
"283-0010-040-0000","2417","Tierra Oaks","95608","3","2 (2 0)","1783","0.1391","1998","","Unknown","","25","25","448800.00","424800.00","425000.00","06/07/19","07/22/19","No","0"
"258-0360-040-0000","5413","Nyoda","95608","3","3 (2 1)","1859","0.1699","1985","Updated/Remodeled","Yes","Bath 0-5YR,Bed 0-5YR","15","15","409900.00","409900.00","400000.00","06/06/19","07/12/19","Yes","2"
"230-027-400-100","4860","Tono","95608","4-5","4 (2 2)","2614","0.3010","1960","","No","","25","25","529900.00","529900.00","522000.00","06/01/19","07/19/19","No","0"
"272-0011-057-0000","5228","North","95608","3","2 (2 0)","1256","0.1900","1983","","Unknown","","19","19","299000.00","299000.00","266000.00","06/10/19","08/02/19","Yes","2"
"272-0011-056-0000","5224","North","95608","3","2 (2 0)","1296","0.1890","1983","","Unknown","","51","51","299000.00","275000.00","266000.00","06/10/19","08/26/19","Yes","2"
"272-0360-003-0000","5514","Tierra Gardens","95608","5","3 (3 0)","3760","0.2445","2002","","Unknown","","40","40","745000.00","745000.00","730000.00","06/07/19","08/22/19","No","0"
"271-0313-008-0000","4948","North","95608","3","2 (2 0)","2112","0.4600","1980","","Unknown","","44","44","525000.00","510000.00","510000.00","06/08/19","08/30/19","No","0"
"272-0090-082-0000","3032","Paragon","95608","3","2 (2 0)","1486","0.1600","1987","Updated/Remodeled","Yes","Bath 0-5YR","4","4","385000.00","420000.00","415000.00","06/06/19","06/28/19","Yes","7"
"230-0403-003-0000","4209","Sharwood Way","95608","4","2 (2 0)","1513","0.2700","1961","","Unknown","","4","4","369000.00","369000.00","362000.00","06/06/19","07/26/19","Yes","2"
"260-0211-017-0000","3620","Voleyn","95608","3","2 (2 0)","1008","0.2446","1959","Updated/Remodeled","Yes","Bath 11-15YR,Bed 6-10YR,Bed 0-5YR,Kitchen 6-10YR","5","5","397000.00","397000.00","404000.00","06/20/19","07/09/19","Yes","5"
"272-0031-004-0000","3232","Garfield","95608","3","1 (1 0)","1144","0.2300","1954","","Unknown","","8","8","329950.00","329950.00","329950.00","06/07/19","07/10/19","Yes","2"
"258-0231-007-0000","3601","Casa Rosa","95608","3","3 (3 0)","1264","0.2300","1960","Updated/Remodeled","Yes","Bath 6-10YR,Bath 0-5YR,Kitchen 6-10YR,Other-Rmks 6-10YR","7","7","409999.00","409999.00","412000.00","06/07/19","07/26/19","Yes","3"
"282-0370-028-0000","4957","Olive Oak","95608","5","3 (3 0)","2394","0.1700","1978","Updated/Remodeled","Yes","Bath 0-5YR,Other-Rmks 0-5YR","27","27","569000.00","569000.00","564000.00","06/08/19","07/17/19","No","0"
