Bedrooms,Bathrooms,MTRO Square Footage,Lot Size - Acres,Year Built,CDOM,DPRIME,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2.820715195862645,1.2813818068795564,3.5381632433412444,-0.7734156545661314,2.607586126585268,1.0774019684526606,-0.3417184318590321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.5760844057506113,-0.3806252253047151,-0.9269830173545881,0.2848262639055572,-0.8105250427714817,-0.37868906588847523,-0.3417184318590321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.5760844057506113,-0.3806252253047151,-1.2432395032825798,0.321317364542512,-0.6650735036499179,-0.6287249000682662,-0.7700804641958136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.5760844057506113,-0.3806252253047151,0.2411893775419311,0.6497372702751043,0.207635731079465,-0.2463171536756447,0.0866436004777493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.5760844057506113,-0.3806252253047151,-0.05332447497851115,-1.9046397743117294,0.0621841919579012,-0.4522290171178255,-0.19893108774677165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.1223153950560167,1.2813818068795564,-0.013792414237512192,-1.576219868579137,1.4439738136127573,-0.18748519269216446,-0.7700804641958136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.274484206557239,-2.0426322574889864,-1.6267004924702697,1.0146482766446523,-0.8832508123322635,-0.5551849488389159,2.085666418049396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.5760844057506113,-0.3806252253047151,-0.6364223709082458,-0.8208540853941734,0.207635731079465,-0.46693700736369553,-0.7700804641958136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.5760844057506113,-0.3806252253047151,-0.630492561797096,0.6497372702751043,-0.592347734089136,0.9303220659939598,-0.7700804641958136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.5760844057506113,-0.3806252253047151,-0.20156970275725725,1.3649628427594183,-0.22871888628522644,-0.5993089195765261,-0.7700804641958136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
